titre,definition_gpt,prompt_prefix,Prompt_suffix,prompt,model,max_tokens,temperature,top_p,frequency_penalty,presence_penalty,_gpt_raw,date
Abandon de formulaire,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Abandon de formulaire en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
ABM,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme ABM en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
ABSD,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme ABSD en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Access panel spécialisé,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Access panel spécialisé en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Account based advertising,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Account based advertising en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Account based retargeting,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Account based retargeting en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Account based sales development,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Account based sales development en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Account-based marketing,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Account-based marketing en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Acheteur professionnel,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Acheteur professionnel en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Alerte commerciale,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Alerte commerciale en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Alerte nomination,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Alerte nomination en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Alignement marketing-ventes,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Alignement marketing-ventes en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Allocation des leads,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Allocation des leads en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Appel d'offres,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Appel d'offres en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Appel d'offres LinkedIn,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Appel d'offres LinkedIn en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Appel de follow-up,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Appel de follow-up en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Appel de qualification ,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Appel de qualification  en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
AQL,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme AQL en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
Automatisation LinkedIn,,Décris ce que signifie le terme , en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,Décris ce que signifie le terme Automatisation LinkedIn en trois parties de 300 mots chacunes : 1. Définition très détaillée  2. Illustrations concrètes ou exemples. 3. Pour quelles activités ou quelles entreprises ce concept est important. Ajoute des URLs de pages web ou de vidéos Youtube qui permettent de mieux comprendre le concept, s’ils existent, sinon n’ajoute rien. Ne traduis pas le terme en français s'il s'agit d'un terme en anglais\nDéfinition:\n,text-davinci-003,2000,0.6,1,0.2,0.3,,
